I b target_addr
B bc BO,BI,target_addr
XL bclr BO,BI,BH
XL bclrl BO,BI,BH
XL bcctr BO,BI,BH
XL bcctrl BO,BI,BH
SC sc LEV
XL crand BT,BA,BB
XL cror BT,BA,BB
XL crxor BT,BA,BB
XL crnand BT,BA,BB
XL crnor BT,BA,BB
XL creqv BT,BA,BB
XL crandc BT,BA,BB
XL crorc BT,BA,BB
XL mcrf BF,BFA
D lbz RT,D(RA)
X lbzx RT,RA,RB
D lbzu RT,D(RA)
X lbzux RT,RA,RB
D lhz RT,D(RA)
X lhzx RT,RA,RB
D lhzu RT,D(RA)
X lhzux RT,RA,RB
D lha RT,D(RA)
X lhax RT,RA,RB
D lhau RT,D(RA)
X lhaux RT,RA,RB
D lwz RT,D(RA)
X lwzx RT,RA,RB
D lwzu RT,D(RA)
X lwzux RT,RA,RB
DS lwa RT,DS(RA)
X lwax RT,RA,RB
X lwaux RT,RA,RB
DS ld RT,DS(RA)
X ldx RT,RA,RB
DS ldu RT,DS(RA)
X ldux RT,RA,RB
D stb RS,D(RA)
X stbx RS,RA,RB
D stbu RS,D(RA)
X stbux RS,RA,RB
D sth RS,D(RA)
X sthx RS,RA,RB
D sthu RS,D(RA)
X sthux RS,RA,RB
D stw RS,D(RA)
X stwx RS,RA,RB
D stwu RS,D(RA)
X stwux RS,RA,RB
DS std RS,DS(RA)
X stdx RS,RA,RB
DS stdu RS,DS(RA)
X stdux RS,RA,RB
X lhbrx RT,RA,RB
X lwbrx RT,RA,RB
X sthbrx RS,RA,RB
X stwbrx RS,RA,RB
D lmw RT,D(RA)
D stmw RS,D(RA)
X lswi RT,RA,NB
X lswx RT,RA,RB
X stswi RS,RA,NB
X stswx RS,RA,RB
D addi RT,RA,SI
D addis RT,RA,SI
XO add RT,RA,RB
XO subf RT,RA,RB
D addic RT,RA,SI
D addic. RT,RA,SI
D subfic RT,RA,SI
XO addc RT,RA,RB
XO subfc RT,RA,RB
XO adde RT,RA,RB
XO subfe RT,RA,RB
XO addme RT,RA
XO subfme RT,RA
XO addze RT,RA
XO subfze RT,RA
XO neg RT,RA
D mulli RT,RA,SI
XO mulld RT,RA,RB
XO mullw RT,RA,RB
XO mulhd RT,RA,RB
XO mulhw RT,RA,RB
XO mulhdu RT,RA,RB
XO mulhwu RT,RA,RB
XO divd RT,RA,RB
XO divw RT,RA,RB
XO divdu RT,RA,RB
XO divwu RT,RA,RB
D cmpi BF,L,RA,SI
X cmp BF,L,RA,RB
D cmpli BF,L,RA,UI
X cmpl BF,L,RA,RB
D tdi TO,RA,SI
D twi TO,RA,SI
X td TO,RA,RB
X tw TO,RA,RB
D andi. RA,RS,UI
D andis. RA,RS,UI
D ori RA,RS,UI
D oris RA,RS,UI
D xori RA,RS,UI
D xoris RA,RS,UI
X and RA,RS,RB
X or RA,RS,RB
X xor RA,RS,RB
X nand RA,RS,RB
X nor RA,RS,RB
X eqv RA,RS,RB
X andc RA,RS,RB
X orc RA,RS,RB
X extsb RA,RS
X extsh RA,RS
X extsw RA,RS
X cntlzd RA,RS
X cntlzw RA,RS
X popcntb RA,RS
MD rldicl RA,RS,SH,MB
MD rldicr RA,RS,SH,ME
MD rldic RA,RS,SH,MB
M rlwinm RA,RS,SH,MB,ME
MDS rldcl RA,RS,RB,MB
MDS rldcr RA,RS,RB,ME
M rlwnm RA,RS,RB,MB,ME
MD rldimi RA,RS,SH,MB
M rlwimi RA,RS,SH,MB,ME
X sld RA,RS,RB
X slw RA,RS,RB
X srd RA,RS,RB
X srw RA,RS,RB
XS sradi RA,RS,SH
X srawi RA,RS,SH
X srad RA,RS,RB
X sraw RA,RS,RB
XFX mtspr SPR,RS
XFX mfspr RT,SPR
XFX mtcrf FXM,RS
XFX mfcr RT
D lfs FRT,D(RA)
X lfsx FRT,RA,RB
D lfsu FRT,D(RA)
X lfsux FRT,RA,RB
D lfd FRT,D(RA)
X lfdx FRT,RA,RB
D lfdu FRT,D(RA)
X lfdux FRT,RA,RB
D stfs FRS,D(RA)
X stfsx FRS,RA,RB
D stfsu FRS,D(RA)
X stfsux FRS,RA,RB
D stfd FRS,D(RA)
X stfdx FRS,RA,RB
D stfdu FRS,D(RA)
X stfdux FRS,RA,RB
X stfiwx FRS,RA,RB
X fmr FRT,FRB
X fneg FRT,FRB
X fabs FRT,FRB
X fnabs FRT,FRB
A fadd FRT,FRA,FRB
A fsub FRT,FRA,FRB
A fmul FRT,FRA,FRC
A fdiv FRT,FRA,FRB
A fmadd FRT,FRA,FRC,FRB
A fmsub FRT,FRA,FRC,FRB
A fnmadd FRT,FRA,FRC,FRB
A fnmsub FRT,FRA,FRC,FRB
X frsp FRT,FRB
X fctid FRT,FRB
X fctidz FRT,FRB
X fctiw FRT,FRB
X fctiwz FRT,FRB
X fcfid FRT,FRB
X fcmpu BF,FRA,FRB
X fcmpo BF,FRA,FRB
X mffs FRT
X mcrfs BF,BFA
X mtfsfi BF,U
XFL mtfsf FLM,FRB
X mtfsb0 BT
X mtfsb1 BT
XFX mtocrf FXM,RS
A fsqrt FRT,FRB
A fre FRT,FRB
A frsqrte FRT,FRB
A fsel FRT,FRA,FRC,FRB
X mcrxr BF
